title,date,link,desc
"Science On a Sphere, thru Dec 31, 2013",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=55407&date=2013-10-18,"Explore extreme phenomena best seen on a globe, including a climate change model for the next 100 years, glacial ice formation, the spreading of the supercontinent Pangea into today's continents, and realtime earthquake locations."
"The Rise of Islam through its Golden Age, thru Feb 28, 2014",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=67998&date=2013-10-18,"This exhibit will display items from the University Library collections to illustrate portions of the history of Islam. One focus will be Baghdad, which became the center of power during the Islamic Golden Age, and the intellectual center for literature, art, architecture, science, mathematics, philosophy, medicine, and education."
"The Berkeley Student Cooperative at 80, thru Mar 28, 2014",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=68202&date=2013-10-18,"Fourteen Depression-era UC Berkeley students, guided by the campus YMCA general secretary Harry L. Kingman, established a house that would launch the University of California Students' Cooperative Association. Now known as the Berkeley Student Cooperative (BSC), the student-owned and student-operated non-profit cooperative has continued to grow since its founding, offering several affordable housing options to UC Berkeley students and those at other Bay Area colleges and universities. This exhibition celebrates the 80th anniversary of the BSC, the largest student cooperative in the United States, with photographs, brochures, publications, correspondence, and other documents drawn from the BSC records and other collections in the University Archives. It explores its origins, traditions, artistic activities, political involvement, and environmental sustainability efforts."
"Unbuilt San Francisco, thru Nov 8",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=68957&date=2013-10-18,"The Environmental Design Archives, AIA San Francisco, Center for Architecture + Design, California Historical Society, SPUR and the San Francisco Public Library are pleased to present Unbuilt San Francisco, a collaborative exhibition on view August  December, 2013. This ambitious five-venue exhibition and its accompanying programs will provide San Franciscans and Bay Area residents with an opportunity to confront visions for the region that never came to be.<br />
<br />
Each institution will display treasures from archival collections, architecture firms and private collections, and host companion programming. Unbuilt San Francisco at the College of Environmental Design is a vivid history lesson, showing viewers a shadow city and phantom skyline. The curators explore why a building does not take brick-and-mortar form, from economic hubris to community resistance, and how an unrealized structure can shape what follows. The exhibition is also intended to engage the students who will make up an important part of the visitors to the gallery. A section on ""First Takes"" explores the early incarnations of buildings that do exist, a way of exploring the passage from ideal to incarnation. ""Rhetorical Unbuilt"" looks at the other extreme of architecture -- plans meant to put new ideas before the public, stir debate and prod us to consider other ways of living in an age that faces environmental and societal pressures we could not have considered a century ago. One of the most fascinating designs in the show is a 1969 plan to fill the Sutro Bath ruins with condominiums -- exactly the sort of proposal that spurred the ""green"" activism of the era and helped spawn the Golden Gate National Recreation Area."
"Holy Land, California, thru Dec 13",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=69005&date=2013-10-18,"In 1974, the Judah L. Magnes Museum commissioned Albert Garvey (Chicago, 1932), a photographer, printmaker, and graphic designer then based in Fairfax, California, to create a portfolio of views of contemporary Israel. This commission, unconventional for its time, resulted in the work, We Are the Wall Itself, a collection of twenty-four even more unconventional serigraphs (color silkscreen prints), based on images taken by the artist and his wife, Barbara, first in 1960 and again in the spring of 1974, shortly after the Yom Kippur War.<br />
<br />
Starting from over one thousand 35mm. photographs, altered in the darkroom and combined with hand-drawn stencils, Garvey depicted religious gatherings, the walls and the streets of Jerusalem, the urbanization of Eilat, agricultural work in the kibbutz, and the emerging youth counterculture.<br />
<br />
By presenting a selection from the original project, we are revisiting two sets of cultural conventions: those connected to the artistic practice of imaging the Holy Land, as well as the ways in which the State of Israel has commonly been portrayed since its founding in 1948. Emblematic of the unique view of modern Israel that emerged out of California in the 1960s and early 1970s, Garveys eye seized Israels diversity through the lenses of a then popular form of Pop Art (screen printing), distant from the tropes that had until then marked its representation in America and elsewhere. Rather than glorifying military might, agricultural advancements, and archeological treasures, these images offer a direct appreciation for the daily life of a developing country in which multiple cultures continually negotiated their forms of coexistence.<br />
<br />
--Francesco Spagnolo, Curator"
"Global India: Kerala, Israel, Berkeley, thru Dec 13",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=69009&date=2013-10-18,"Global India: Kerala, Israel, Berkeley unveils the extensive holdings of The Magnes Collection of Jewish Art and Life documenting the history of the Jewish community in Kerala, South India. The exhibition includes over one hundred individual items, many of which were never catalogued before.<br />
<br />
Thanks to a dynamic collecting campaign conducted in the 1960s and 1970s, The Magnes became one of the world's most extensive repositories of materials about the Jews of Southern India, along with the historic sites in Kerala and national and private collections in Israel, where most of the Kerala Jews settled after the founding of the State in 1948.<br />
<br />
The collection includes hundreds of ritual objects, textiles, photographs, archival records, Hebrew books, and manuscripts, including liturgical texts, illustrated ketubbot (Jewish marriage contracts) and amulets, in Hebrew, Aramaic, Malayalam, Judeo-Spanish, and English.<br />
<br />
These materials constitute an invaluable source of information on the Kerala Jewish community, one of the oldest in the world, and its deep connections with Indias society and cultures and with the global Jewish Diaspora, across India, the Middle East, and Europe. Among the most notable items on display are the Torah Ark from the Tekkumbhagam synagogue in Mattancherry, Kochi, and an extremely rare amulet on parchment, designed to protect women in childbirth and newborn children.<br />
<br />
This exhibition is the culmination of years of curatorial work devoted to assessing and documenting the holdings of The Magnes Collection, conducted in collaboration with experts in Israel and the US. It also inaugurates a new season of research, engaging the scholarly community at UC Berkeley and beyond, and intersecting Jewish and Asian Studies.<br />
<br />
--Francesco Spagnolo, Curator"
"Lands/Scapes: On Painting and Jewish Geography, thru Dec 13",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=69012&date=2013-10-18,"This is the first exhibition to highlight landscape art from The Magnes collection. Spanning the twentieth century and following the paths of Jewish migration, the exhibition offers of a new look at the artists' relationship with the sites and spaces they inhabited. From Western European Impressionism to Eastern European Realism, from Romanticism of the Americas to Modernism of Israel/Palestine, images of the land were created at the intersection of pictorial traditions and ideological values. Included in the exhibition are nearly thirty works by such artists as Max Liebermann, Jacob Nussbaum, Robert Falk, Moshe Mokady, and Maurycy Minkowski."
"Pop-up and Board Books, thru Dec 23",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=69362&date=2013-10-18,"Pop-up books delight the eyes, the brain, and the heart.<br />
<br />
Need an idea for a holiday gift for a child? Take a look at the books on display at the EDP Library. Surprise your child. Give a book that will refresh the mind again and again. Inspire creative thinking. Stimulate scientific inquiry."
"Planning With Nature: 100 Years of Landscape Architecture at UC Berkeley, thru Dec 13",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=69648&date=2013-10-18,"<br />
	Exhibition Dates:<br />
<br />
	September 26-December 13, 2013<br />
<br />
	Special Guided Tour:<br />
<br />
	Saturday, September 28<br />
	9-9:45 p.m.<br />
<br />
	Location:<br />
<br />
	Volkmann Reading Room, Environmental Design Library (210 Wurster Hall)<br />
	Raymond Lifchez and Judith Lee Stronach Exhibition Cases<br />
<br />
	Library information, hours, and directions:<br />
	(510) 642-4818<br />
	http://www.lib.berkeley.edu/ENVI/<br />
<br />
	Exhibition Description:<br />
<br />
	Founded in 1913, this year the Department of Landscape Architecture and Environmental Planning celebrates its centennial! The exhibition examines the history and guiding principles of the department -- innovation, social responsibility, and research through the works of its students, faculty, staff and alumni. Historical, archival and cutting edge material will be on display from the Environmental Design Archives, Visual Resources Center, and Environmental Design Library.<br />
<br />
	Curators: Cailin Swarm and Miranda Hambro."
"Planning with Nature: 100 Years of Landscape Architecture at UC Berkeley, thru Dec 13",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=70730&date=2013-10-18,"Founded in 1913, the Department of Landscape Architecture and Environmental Planning is celebrating its centennial! The exhibition examines the history and guiding principles of the departmentinnovation, social responsibility, and research through the work of its students, faculty, staff, and alumni. Historical, archival and cutting edge material will be on display from the Environmental Design Archives, Visual Resources Center, and Environmental Design Library."
