title,date,link,desc
"Science On a Sphere, thru Dec 31, 2013",2013-10-13,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=55407&date=2013-10-13,"Explore extreme phenomena best seen on a globe, including a climate change model for the next 100 years, glacial ice formation, the spreading of the supercontinent Pangea into today's continents, and realtime earthquake locations."
"The Rise of Islam through its Golden Age, thru Feb 28, 2014",2013-10-13,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=67998&date=2013-10-13,"This exhibit will display items from the University Library collections to illustrate portions of the history of Islam. One focus will be Baghdad, which became the center of power during the Islamic Golden Age, and the intellectual center for literature, art, architecture, science, mathematics, philosophy, medicine, and education."
"The Berkeley Student Cooperative at 80, thru Mar 28, 2014",2013-10-13,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=68202&date=2013-10-13,"Fourteen Depression-era UC Berkeley students, guided by the campus YMCA general secretary Harry L. Kingman, established a house that would launch the University of California Students' Cooperative Association. Now known as the Berkeley Student Cooperative (BSC), the student-owned and student-operated non-profit cooperative has continued to grow since its founding, offering several affordable housing options to UC Berkeley students and those at other Bay Area colleges and universities. This exhibition celebrates the 80th anniversary of the BSC, the largest student cooperative in the United States, with photographs, brochures, publications, correspondence, and other documents drawn from the BSC records and other collections in the University Archives. It explores its origins, traditions, artistic activities, political involvement, and environmental sustainability efforts."
"Pop-up and Board Books, thru Dec 23",2013-10-13,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=69362&date=2013-10-13,"Pop-up books delight the eyes, the brain, and the heart.<br />
<br />
Need an idea for a holiday gift for a child? Take a look at the books on display at the EDP Library. Surprise your child. Give a book that will refresh the mind again and again. Inspire creative thinking. Stimulate scientific inquiry."
"Planning With Nature: 100 Years of Landscape Architecture at UC Berkeley, thru Dec 13",2013-10-13,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=69648&date=2013-10-13,"<br />
	Exhibition Dates:<br />
<br />
	September 26-December 13, 2013<br />
<br />
	Special Guided Tour:<br />
<br />
	Saturday, September 28<br />
	9-9:45 p.m.<br />
<br />
	Location:<br />
<br />
	Volkmann Reading Room, Environmental Design Library (210 Wurster Hall)<br />
	Raymond Lifchez and Judith Lee Stronach Exhibition Cases<br />
<br />
	Library information, hours, and directions:<br />
	(510) 642-4818<br />
	http://www.lib.berkeley.edu/ENVI/<br />
<br />
	Exhibition Description:<br />
<br />
	Founded in 1913, this year the Department of Landscape Architecture and Environmental Planning celebrates its centennial! The exhibition examines the history and guiding principles of the department -- innovation, social responsibility, and research through the works of its students, faculty, staff and alumni. Historical, archival and cutting edge material will be on display from the Environmental Design Archives, Visual Resources Center, and Environmental Design Library.<br />
<br />
	Curators: Cailin Swarm and Miranda Hambro."
"Planning with Nature: 100 Years of Landscape Architecture at UC Berkeley, thru Dec 13",2013-10-13,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=70730&date=2013-10-13,"Founded in 1913, the Department of Landscape Architecture and Environmental Planning is celebrating its centennial! The exhibition examines the history and guiding principles of the departmentinnovation, social responsibility, and research through the work of its students, faculty, staff, and alumni. Historical, archival and cutting edge material will be on display from the Environmental Design Archives, Visual Resources Center, and Environmental Design Library."
"The Amazing Walk 2:6-Week Wellness Adventure Around the World (BEUHS639), thru Nov 15",2013-10-13,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=68595&date=2013-10-13,"The Amazing Walk is back! In a spin off the television game-show, the Amazing Race, this program will send teams of 2 people on a 6-week virtual wellness adventure around the world. In addition to weekly wellness challenges, friendly competition and fun prizes, the Amazing Walk 2 will feature more interactive team activities including a kick-off event, weekly fitness walking classes, walking group incentives and an Amazing Walk healthy potluck. Grab a teammate and sign up today!"
"At the Edges, Jan 24-Oct 16",2013-10-13,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=63208&date=2013-10-13,"The photos in this exhibit, taken at the Guadalcanal Village wetlands restoration site on Mare Island, were taken where land and water intersect. Plants that grow on land, yet withstand the inundation of brackish water at high tide, and mud that, although usually underwater, is exposed at low tide are examples of the photos in this exhibit, scenes at the edges of the wetlands.<br />
<br />
All the photos were taken with a classic Hasselblad film camera and printed through an enlarger by a local photo lab."
"Mummies: Secrets of the Pharaohs 3-D Film, thru Jan 5, 2014",2013-10-13,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=67757&date=2013-10-13,"Part historic journey and part forensic adventure, Mummies: Secrets of the Pharaohs follows researchers and explorers as they piece together the archaeological and genetic clues of Egyptian mummies. The film tells the story of one of the greatest archeological finds in history and current research which may advance modern medicine."
"Foods of the Americas Exhibit, Oct 2-18",2013-10-13,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=68547&date=2013-10-13,"From chocolate to quinoa, discover the cornucopia of food crops that originated in the Americas thousands of years ago.<br />
<br />
Free with Garden Admission!"
"Wildlife Rescue, thru Jan 5, 2014",2013-10-13,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=69236&date=2013-10-13,Animals and habitats all over the Earth are endangered. Get to know some of these species by joining them and the scientists working for their protection on a survival journeyfrom the recovery center and back into the wild.
